,Beijing,Tianjin,Hebei,Shanxi,Inner Mongolia,Liaoning,Jilin,Heilongjiang,Shanghai,Jiangsu,Zhejiang,Anhui,Fujian,Jiangxi,Shandong,Henan,Hubei,Hunan,Guangdong,"Guangxi,",Hainan,Chongqing,Sichuan,Guizhou,Yunnan,Tibet,Shaanxi,Gansu,Qinghai,Ningxia,Xinjiang
2020,36102.6,14083.7,36206.9,17651.9,17359.8,25115.0,12311.3,13698.5,38700.6,102719.0,64613.3,38680.6,43903.9,25691.5,73129.0,54997.1,43443.5,41781.5,110760.9,22156.7,5532.4,25002.8,48598.8,17826.6,24521.9,1902.7,26181.9,9016.7,3005.9,3920.6,13797.6
2019,35445.1,14055.5,34978.6,16961.6,17212.5,24855.3,11726.8,13544.4,37987.6,98656.8,62462.0,36845.5,42326.6,24667.3,70540.5,53717.8,45429.0,39894.1,107986.9,21237.1,5330.8,23605.8,46363.8,16769.3,23223.8,1697.8,25793.2,8718.3,2941.1,3748.5,13597.1
2018,33106.0,13362.9,32494.6,15958.1,16140.8,23510.5,11253.8,12846.5,36011.8,93207.6,58002.8,34010.9,38687.8,22716.5,66648.9,49935.9,42022.0,36329.7,99945.2,19627.8,4910.7,21588.8,42902.1,15353.2,20880.6,1548.4,23941.9,8104.1,2748.0,3510.2,12809.4
2017,29883.0,12450.6,30640.8,14484.3,14898.1,21693.0,10922.0,12313.0,32925.0,85869.8,52403.1,29676.2,33842.4,20210.8,63012.1,44824.9,37235.0,33828.1,91648.7,17790.7,4497.5,20066.3,37905.1,13605.4,18486.0,1349.0,21473.5,7336.7,2465.1,3200.3,11159.9
2016,27041.2,11477.2,28474.1,11946.4,13789.3,20392.5,10427.0,11895.0,29887.0,77350.9,47254.0,26307.7,29609.4,18388.6,58762.5,40249.3,33353.0,30853.5,82163.2,16116.6,4090.2,18023.0,33138.5,11792.4,16369.0,1173.0,19045.8,6907.9,2258.2,2781.4,9630.8
2015,24779.1,10879.5,26398.4,11836.4,12949.0,20210.3,10018.0,11690.0,26887.0,71255.9,43507.7,23831.2,26819.5,16780.9,55288.8,37084.1,30344.0,28538.6,74732.4,14797.8,3734.2,16040.5,30342.0,10541.0,14960.0,1043.0,17898.8,6556.6,2011.0,2579.4,9306.9
2014,22926.0,10640.6,25208.9,12094.7,12158.2,20025.7,9966.5,12170.8,25269.8,64830.5,40023.5,22519.7,24942.1,15667.8,50774.8,34574.8,28242.1,25881.3,68173.0,13587.8,3449.0,14623.8,28891.3,9173.1,14041.7,939.7,17402.5,6518.4,1847.7,2473.9,9264.5
2013,21134.6,9945.4,24259.6,11987.2,11392.4,19208.8,9427.9,11849.1,23204.1,59349.4,37334.6,20584.0,22503.8,14300.2,47344.3,31632.5,25378.0,23545.2,62503.4,12448.4,3115.9,13027.6,26518.0,7973.1,12825.5,828.2,15905.4,6014.5,1713.3,2327.7,8392.6
2012,19024.7,9043.0,23077.5,11683.1,10470.1,17848.6,8678.0,11015.8,21305.6,53701.9,34382.4,18341.7,20190.7,12807.7,42957.3,28961.9,22590.9,21207.2,57007.7,11303.6,2789.4,11595.4,23922.4,6742.2,11097.4,710.2,14142.4,5393.1,1528.5,2131.0,7411.8
2011,17188.8,8112.5,21384.7,10894.4,9458.1,16354.9,7734.6,9935.0,20009.7,48839.2,31854.8,16284.9,17917.7,11584.5,39064.9,26318.7,19942.5,18915.0,53072.8,10299.9,2463.8,10161.2,21050.9,5615.6,9523.1,611.5,12175.1,4816.9,1370.4,1931.8,6532.0
2010,14964.0,6830.8,18003.6,8903.9,8199.9,13896.3,6410.5,8308.3,17915.4,41383.9,27399.9,13249.8,15002.5,9383.2,33922.5,22655.0,16226.9,15574.3,45944.6,8552.4,2020.5,8065.3,17224.8,4519.0,7735.3,512.9,9845.2,3943.7,1144.2,1571.7,5360.2
2009,12900.9,5709.6,15306.9,7147.6,7104.2,12815.7,5434.8,7218.9,15742.4,34471.7,22833.7,10864.7,12418.1,7630.0,29540.8,19181.0,13192.1,12772.8,39464.7,7112.9,1620.3,6651.2,14190.6,3856.7,6574.4,445.7,7997.8,3268.3,939.7,1266.7,4237.0
2008,11813.1,5182.4,14200.1,7223.0,6242.4,12137.7,4834.7,7134.2,14536.9,30945.5,21284.6,9517.7,10931.8,6934.2,27106.2,17735.9,11497.5,11307.4,36704.2,6455.4,1474.7,5899.5,12756.2,3504.5,6016.6,398.2,7177.8,3071.7,896.9,1139.2,4142.5
2007,10425.5,4158.4,12152.9,5935.6,5166.9,10292.2,4080.3,6126.3,12878.7,25988.4,18640.0,7941.6,9325.6,5777.6,22718.1,14824.5,9451.4,9285.5,31742.6,5474.8,1234.0,4770.7,10562.1,2847.5,5077.4,344.1,5681.8,2675.1,720.1,877.6,3500.0
2006,8387.0,3538.2,10043.0,4713.6,4161.8,8390.3,3226.5,5329.8,10598.9,21240.8,15302.7,6500.3,7468.6,4696.8,18967.8,11977.9,7531.8,7431.6,25961.2,4417.8,1027.5,3900.3,8494.7,2264.1,4090.7,285.9,4595.6,2203.0,585.2,683.3,2957.3
2005,7149.8,3158.6,8773.4,4079.4,3523.7,7260.8,2776.5,4756.4,9197.1,18121.3,13028.3,5675.9,6415.5,3941.2,15947.5,10243.5,6469.7,6369.9,21963.0,3742.1,884.9,3448.4,7195.9,1939.9,3497.7,243.1,3817.2,1864.6,499.4,579.9,2520.5
2004,6252.5,2621.1,7588.6,3496.0,2942.4,6469.8,2455.2,4134.7,8101.6,14823.1,11482.1,5129.1,5712.1,3398.1,13308.1,8411.2,5546.8,5542.6,18658.3,3305.1,802.7,3059.5,6304.0,1649.4,3136.4,217.9,3141.6,1653.6,443.7,519.9,2170.4
2003,5267.2,2257.8,6333.6,2854.3,2388.4,5906.3,2141.0,3609.7,6804.0,12442.9,9753.4,4307.8,4999.6,2812.7,10903.2,6942.4,4757.5,4660.0,15979.8,2798.2,714.0,2615.6,5346.2,1429.0,2633.4,186.0,2587.7,1399.9,385.0,442.6,1889.2
2002,4525.7,1926.9,5518.9,2324.8,1940.9,5458.2,2043.1,3242.7,5795.0,10606.9,8040.7,3827.7,4467.6,2450.5,10076.5,6035.5,4212.8,4151.5,13601.9,2523.7,642.7,2279.8,4725.0,1243.4,2358.7,162.0,2253.4,1232.0,340.7,377.2,1612.6
2001,3861.5,1756.9,5062.9,2029.5,1713.8,5033.1,1900.9,3043.4,5257.7,9456.8,6927.7,3502.8,4072.9,2175.7,9076.2,5533.0,3880.5,3831.9,12126.6,2279.3,579.2,2014.6,4293.5,1133.3,2159.0,139.2,2010.6,1125.4,300.1,337.4,1491.6
2000,3277.8,1591.7,4628.2,1845.7,1539.1,4669.1,1751.4,2855.5,4812.2,8553.7,6164.8,3125.3,3764.5,2003.1,8278.1,5053.0,3545.4,3551.5,10810.2,2080.0,526.8,1822.1,3928.2,1029.9,2030.1,117.8,1804.0,1052.9,263.7,295.0,1363.6
1999,2759.8,1435.6,4158.9,1667.1,1379.3,4171.7,1673.0,2536.9,4222.3,7697.8,5461.3,2907.8,3414.2,1853.7,7493.8,4517.9,3229.3,3214.5,9289.6,1971.4,476.7,1687.8,3649.1,937.5,1899.8,106.0,1592.6,956.3,239.4,264.6,1163.2
1998,2439.1,1344.7,3924.5,1611.1,1262.5,3881.7,1577.1,2470.2,3831.0,7200.0,5065.5,2711.7,3159.9,1719.9,7021.4,4308.2,3114.0,3025.5,8555.3,1911.3,442.1,1622.4,3474.1,858.4,1831.3,91.5,1458.4,887.7,220.9,245.5,1107.0
1997,2118.1,1264.6,3652.1,1476.0,1153.5,3582.5,1464.3,2397.6,3465.3,6680.3,4695.9,2485.4,2870.9,1605.8,6537.1,4041.1,2856.5,2849.3,7793.0,1817.3,411.2,1525.3,3241.5,805.8,1676.2,77.2,1363.6,793.6,202.8,224.6,1039.8
1996,1819.4,1121.9,3198.0,1292.1,1023.1,3157.7,1346.8,2137.6,2980.8,6004.2,4195.8,2199.7,2484.3,1409.7,5883.8,3634.7,2499.8,2540.1,6848.2,1697.9,389.7,1326.4,2871.7,723.2,1517.7,65.0,1215.8,722.5,184.2,202.9,900.9
1995,1516.2,932.0,2701.2,1076.0,857.1,2793.4,1137.2,1790.2,2518.1,5155.3,3563.9,1891.2,2094.9,1169.7,4953.4,2988.4,2109.4,2132.1,5940.3,1497.6,363.3,1130.6,2443.2,636.2,1222.2,56.1,1036.9,557.8,167.8,175.2,814.9
1994,1149.8,732.9,2114.5,826.7,695.1,2461.8,937.7,1448.1,1990.9,4057.4,2689.3,1378.9,1644.4,948.2,3844.5,2216.8,1700.9,1650.0,4619.0,1198.3,332.0,838.1,2001.4,524.5,983.8,46.0,839.0,453.6,138.4,136.3,662.3
1993,888.9,538.9,1620.8,680.4,537.8,2010.8,718.6,1075.3,1519.2,2998.2,1925.9,1073.5,1114.2,723.0,2770.4,1660.2,1325.8,1244.7,3469.3,871.7,260.4,611.1,1486.1,417.7,783.3,37.4,678.2,372.2,109.7,104.5,495.3
1992,710.2,411.0,1278.5,551.1,421.7,1473.0,558.1,857.4,1114.3,2136.0,1375.7,827.0,784.7,572.6,2196.5,1279.8,1088.4,987.0,2447.5,646.6,184.9,462.5,1177.3,339.9,618.7,33.3,531.6,317.8,87.5,83.1,402.3
